学籍番号,名前,ふりがな,性別,IDm,履修教科1,履修教科2,履修教科3,履修教科4,履修教科5,履修教科6,履修教科7,履修教科8,履修教科9,履修教科10,履修教科11,履修教科12,履修教科13,履修教科14,履修教科15,履修教科16,履修教科17,履修教科18,履修教科19,履修教科20,履修教科21,履修教科22
S001,相道森,あいどうしん,男,012E44A7A5187429,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,W3_1,W4,,W5_2
S002,揚村巴絵,あげむらともえ,女,012E44A7A518527D,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S003,浅井礼子,あさいれいこ,女,012E44A7A5152B9F,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S004,荒松晴一,あらまつせいいち,男,012E44A7A518807A,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S005,有福政昭,ありふくまさあき,男,012E44A7A5159B8D,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S006,飯坂新司,いいざかしんじ,男,012E44A7A515A75C,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S007,池澄晃樹,いけずみこうき,男,012E44A7A5158B31,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S008,石長佐久子,いしながさくこ,女,012E44A7A5154DAF,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S009,泉川弘仁,いずかわひろひと,男,012E44A7A51549A3,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S010,礒田睦史,いそたあつし,男,012E44A7A5126FBC,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S011,市之瀬龍治,いちのせりゅうじ,男,012E44A7A5156DA9,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S012,井手窪克茂,いでくぼかつしげ,男,012E44A7A51253C2,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,W3_1,W4,W5_1,
S013,井内早絵子,いないさえこ,女,012E44A7A5157F61,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S014,入澤結香,いりさわゆいか,女,012E44A7A5156A5A,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S015,印公一,いんきみかず,男,012E44A7A5117921,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S016,浦松拓治,うらまつたくじ,男,012E44A7A512676D,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S017,恵島康道,えじまやすみち,男,012E44A7A515B97D,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S018,越前広,えちぜんひろし,男,012E44A7A5159FA1,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S019,江積幸廣,えづみゆきひろ,男,012E44A7A51581AB,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,W3_1,W4,,W5_2
S020,太内信章,おおうちのぶあき,男,012E44A7A5153B80,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S021,太田島映実,おおたじまえみ,女,012E44A7A5159A7E,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S022,大舘俊幸,おおだてとしゆき,男,012E44A7A5123042,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S023,大野貴暁,おおのたかあき,男,012E44A7A5123C39,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S024,大波多英三,おおはたえいぞう,男,012E44A7A518422C,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S025,岡松慎一郎,おかまつしんいちろう,男,012E44A7A5185F32,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S026,小笠公平,おがさこうへい,男,012E44A7A5181C82,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S027,小桐純孝,おぎりすみたか,男,012E44A7A5188A23,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S028,奥名浩佑,おくなこうすけ,男,012E44A7A5152D87,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S029,折原はな,おりはらはな,女,012E44A7A5185F5A,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S030,風洋司,かぜようじ,男,012E44A7A518A873,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S031,株竹智信,かぶたけとものぶ,男,012E44A7A5188F3F,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S032,茅根信道,かやねのぶみち,男,012E44A7A5189699,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S033,木口屋一輝,きぐちやかずき,男,012E44A7A5183188,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S034,城崎成寿,きざきなりひさ,男,012E44A7A518712C,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S035,貴下紗侑里,きしたさゆり,女,012E44A7A5187159,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S036,木野大右,きのだいすけ,男,012E44A7A5185BA4,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S037,清冨芳博,きよとみよしひろ,男,012E44A7A515B76D,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S038,木和田英記,きわだひでき,男,012E44A7A515B86F,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S039,久木原光貴,くきはらこうき,男,012E44A7A5129197,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S040,串間洋治,くしまようじ,男,012E44A7A5123A87,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S041,久保西敏憲,くぼにしとしのり,男,012E44A7A515317D,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S042,古岩井忠利,こいわいただとし,男,012E44A7A5116953,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,W3_1,W4,,W5_2
S043,古橋哲幸,こはしてつゆき,男,012E44A7A5115950,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S044,小橋川睦夫,こばしかわむつお,男,012E44A7A512663E,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S045,古明地宏人,こめいじひろと,男,012E44A7A5124687,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S046,作花譲,さくかじょう,男,012E44A7A51538A8,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S047,佐中将幸,さなかまさゆき,男,012E44A7A5152584,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S048,澤元詠一,さわもとえいいち,男,012E44A7A518581E,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S049,下川香,しもかわかおる,女,012E44A7A5186DA7,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S050,下河内公成,しもこうちきみなり,男,012E44A7A51596B6,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S051,白鳥一功,しらとりかずのり,男,012E44A7A512394B,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S052,末満泰治,すえみつたいじ,男,012E44A7A511AE80,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S053,隅田庸介,すみたようすけ,男,012E44A7A515BF58,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S054,鷹取知也,たかとりともや,男,012E44A7A515587D,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S055,滝田俊明,たきたとしあき,男,012E44A7A5155770,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S056,田盛毅彦,たもりたけひこ,男,012E44A7A5111D86,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S057,田屋洋志,たやひろし,男,012E44A7A5127B45,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S058,太矢浩将,たやひろまさ,男,012E44A7A5127497,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S059,檀野康昭,だんのやすあき,男,012E44A7A5117AA5,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S060,鄭健一郎,ちょんけんいちろう,男,012E44A7A515235C,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
